article_id,article_has_bias,sentence_text,sentence_has_bias
nyt_001,1,"WASHINGTON — Michael Steele, chairman of the Republican National Committee, drew fierce criticism and a call for his resignation on Friday after declaring at a party fund-raiser that the United States was on the wrong side of history with its conflict in Afghanistan, a military fight he called “a war of Obama’s choosing.”",1
nyt_001,1,"“This is not something the United States had actively prosecuted or wanted to engage in,” Mr. Steele said in a speech Thursday night in Connecticut in which he offered a strong critique of President Obama’s military strategy.",0
nyt_001,1,"“It was the president who was trying to be cute by half by flipping a script demonizing Iraq, while saying the battle really should be Afghanistan,” Mr. Steele said, according to a video of his remarks that was circulated by Democrats on Friday.",1
nyt_001,1,"“Well, if he’s such a student of history, has he not understood that you know that’s the one thing you don’t do, is engage in a land war in Afghanistan?”",0
nyt_001,1,"Mr. Steele, seeking to clarify his remarks, issued a statement on Friday afternoon, saying, “There is no question that America must win the war on terror.”",0
nyt_001,1,His remarks were the latest in a string of controversial statements that he has made as party chairman.,1
nyt_001,1,"The war in Afghanistan, which has entered its ninth year, was started by former President George W.",0
nyt_001,1,Bush in response to the terrorist attacks on Sept.,0
nyt_001,1,"11, 2001.",0
nyt_001,1,"Mr. Obama shifted the focus on the war on terrorism from Iraq to Afghanistan and last year announced his plan to send 30,000 more troops there.",0
nyt_001,1,"Mr. Steele’s comments prompted William Kristol, editor of the Weekly Standard and a leading voice of conservative support for the war in Afghanistan, to call for Mr. Steele’s resignation as party leader.",0
nyt_001,1,"“Your tenure has, of course, been marked by gaffes and embarrassments, but I for one have never paid much attention to them, and have never thought they would matter much to the success of the causes and principles we share,” Mr. Kristol wrote Friday.",1
nyt_001,1,"He added, “Needless to say, the war in Afghanistan was not ‘a war of Obama’s choosing.’ It has been prosecuted by the United States under Presidents Bush and Obama.”",0
nyt_001,1,"He added, “There are, of course, those who think we should pull out of Afghanistan, and they’re certainly entitled to make their case.",0
nyt_001,1,But one of them shouldn’t be the chairman of the Republican Party.”,0
nyt_001,1,"A spokesman for the Democratic National Committee, Brad Woodhouse, said Mr. Steele was “betting against our troops and rooting for failure in Afghanistan.” Republican officials dismissed that criticism.",1
nyt_001,1,"When Mr. Steele made the remarks, he was speaking to Republican contributors at a fund-raiser in Connecticut.",0
nyt_001,1,"Linda McMahon, the party’s candidate for the United States Senate in Connecticut, was in the audience, along with other leading state Republicans.",0
nyt_001,1,The video appears to have been taken by a hidden camera at an event that was closed to the press.,0
nyt_001,1,"Republican officials did not dispute the authenticity of the video, but disputed its characterization.",0
