article_id,article_bias,text,discourse_role,prev_discourse_role,next_discourse_role,has_bias,annotations
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"WASHINGTON — Michael Steele, chairman of the Republican National Committee, drew fierce criticism and a call for his resignation on Friday after declaring at a party fund-raiser that the United States was on the wrong side of history with its conflict in Afghanistan, a military fight he called “a war of Obama’s choosing.”",Cause_General,NONE,Main,True,"[{'txt': 'fierce', 'bias': 'lex', 'polarity': 'neg', 'target': 'Michael_Steele', 'aim': 'dir', 'quote': 'no', 'speaker': '', 'id': 'p0'}]"
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"“This is not something the United States had actively prosecuted or wanted to engage in,” Mr. Steele said in a speech Thursday night in Connecticut in which he offered a strong critique of President Obama’s military strategy.",Main,Cause_General,Distant_Evaluation,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"“It was the president who was trying to be cute by half by flipping a script demonizing Iraq, while saying the battle really should be Afghanistan,” Mr. Steele said, according to a video of his remarks that was circulated by Democrats on Friday.",Distant_Evaluation,Main,Speech,True,"[{'txt': 'who was trying to be cute', 'bias': 'inf', 'polarity': 'neg', 'target': 'Barack_Obama', 'aim': 'dir', 'quote': 'yes', 'speaker': 'Michael_Steele', 'id': 'p2'}]"
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"“Well, if he’s such a student of history, has he not understood that you know that’s the one thing you don’t do, is engage in a land war in Afghanistan?”",Speech,Distant_Evaluation,Distant_Evaluation,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"Mr. Steele, seeking to clarify his remarks, issued a statement on Friday afternoon, saying, “There is no question that America must win the war on terror.”",Distant_Evaluation,Speech,Distant_Evaluation,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,His remarks were the latest in a string of controversial statements that he has made as party chairman.,Distant_Evaluation,Distant_Evaluation,Cause_General,True,"[{'txt': 'His remarks were the latest in a string of controversial statements that he has made as party chairman.', 'bias': 'inf', 'polarity': 'neg', 'target': 'Michael_Steele', 'aim': 'dir', 'quote': 'no', 'speaker': '', 'id': 'p5'}]"
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"The war in Afghanistan, which has entered its ninth year, was started by former President George W.",Cause_General,Distant_Evaluation,Cause_General,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,Bush in response to the terrorist attacks on Sept.,Cause_General,Cause_General,Cause_General,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"11, 2001.",Cause_General,Cause_General,Distant_Historical,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"Mr. Obama shifted the focus on the war on terrorism from Iraq to Afghanistan and last year announced his plan to send 30,000 more troops there.",Distant_Historical,Cause_General,Distant_Historical,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"Mr. Steele’s comments prompted William Kristol, editor of the Weekly Standard and a leading voice of conservative support for the war in Afghanistan, to call for Mr. Steele’s resignation as party leader.",Distant_Historical,Distant_Historical,Cause_General,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"“Your tenure has, of course, been marked by gaffes and embarrassments, but I for one have never paid much attention to them, and have never thought they would matter much to the success of the causes and principles we share,” Mr. Kristol wrote Friday.",Cause_General,Distant_Historical,Speech,True,"[{'txt': 'Your tenure has, of course, been marked by gaffes and embarrassments', 'bias': 'inf', 'polarity': 'neg', 'target': 'Michael_Steele', 'aim': 'dir', 'quote': 'yes', 'speaker': 'other_anti', 'id': 'p9'}]"
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"He added, “Needless to say, the war in Afghanistan was not ‘a war of Obama’s choosing.’ It has been prosecuted by the United States under Presidents Bush and Obama.”",Speech,Cause_General,Distant_Evaluation,False,[]
d2e17368-b2da-4ee4-a7d9-8a5cccdebefd,center,"He added, “There are, of course, those who think we should pull out of Afghanistan, and they’re certainly entitled to make their case.",Distant_Evaluation,Speech,Speech,False,[]
